"iso3","country","region","income","life_exp","infant_mort","fertility","pop65","urban_pct","gdp_pc","health_exp_pct","internet_pct","prim_enr","sec_enr","ter_enr","prim_compl","educ_exp","mobile","broadband","fixedline","agri_va","ind_va","manuf_va","serv_va","exports","imports","trade","capform","cons_hh","cons_gov","tax_rev","inflation","gni_pc","gdp_growth","pop0014","pop1564","dep_ratio","dep_old","dep_young","pop_tot","pop_grow","death_rate","birth_rate","net_migr","rural_pct","urb_grow","lgst_city","land_area","pop_dens","agri_land","arable","forest","air_pax","air_dep","credit_priv","fdi"
"CYP","Cyprus","Europe & Central Asia","High income",80.434,3.4,1.393,14.078,66.669,33231.051,8.272,89.601,98.952,103.828,105.385,101.473,4.742,146.716,36.766,31.333,1.186,10.375,4.298,77.156,104.666,101.087,205.754,20.595,57.833,17.994,23.03,8.395,31900,8.739,16.033,69.889,43.084,20.143,22.941,1331370,1.062,7.693,11.048,9014,33.331,1.058,NA,9240,144.088,13.316,10.262,18.668,440203,4009,70.807,0.173
"CZE","Czechia","Europe & Central Asia","High income",78.929,2.2,1.64,20.518,72.697,28282.224,8.471,84.54,100.975,102.936,70.815,103.11,4.303,128.105,37.714,11.625,2.076,29.219,19.395,59.744,72.409,71.602,144.011,31.033,48.564,19.595,18.149,15.1,27210,2.847,15.948,63.534,57.396,32.295,25.101,10672118,1.571,11.3,9.5,329739,27.303,1.593,16.989,77171.73,138.291,45.748,32.127,34.737,2176800,14313,48.635,3.029
"DNK","Denmark","Europe & Central Asia","High income",81.305,3.3,1.55,20.401,88.388,67781.094,9.474,97.86,100.244,130.327,84.587,99.886,6.356,126.484,44.886,12.663,1.002,20.669,12.824,66.43,70.755,61.241,131.996,24.777,43.652,22.056,30.728,7.697,72040,0.444,16.036,63.563,57.324,32.095,25.229,5903037,0.788,10.1,9.9,60219,11.612,0.931,26.26,40000,147.576,65.6,59,15.758,NA,NA,143.406,6.905
"DJI","Djibouti","Middle East, North Africa, Afghanistan & Pakistan","Lower middle income",65.54,45.8,2.653,4.627,72.611,3133.258,2.526,63.776,NA,NA,NA,NA,NA,46.777,1.412,2.456,2.631,15.031,5.027,76.389,159.251,143.035,302.285,-10.596,72.79,21.589,NA,5.172,3310,5.167,30.023,65.349,53.024,7.081,45.943,1137096,1.404,7.544,21.032,500,27.389,1.849,71.636,23180,49.055,73.503,0.129,0.257,NA,NA,19.834,5.249
"DMA","Dominica","Latin America & Caribbean ","Upper middle income",71.081,32.7,1.482,12.586,72.683,9323.661,5.973,80.58,100.809,105.388,NA,96.659,6.043,85.19,20.86,NA,12.944,12.607,3.952,58.652,NA,NA,NA,NA,NA,NA,NA,2.885,9740,10.397,18.293,69.122,44.671,18.207,26.464,66826,-0.561,12.908,11.146,-202,27.317,0.021,NA,750,89.101,33.333,8,63.827,NA,NA,45.849,2.716
"DOM","Dominican Republic","Latin America & Caribbean ","Upper middle income",74.211,29.1,2.267,7.287,72.42,10104.246,4.645,81.513,100.492,76.528,55.167,89.489,3.611,90.376,10.674,10.185,4.154,30.826,13.368,58.32,22.026,32.352,54.378,30.671,68.697,10.958,13.906,8.811,9150,5.238,27.192,65.521,52.623,11.122,41.501,11230734,0.96,5.899,18.255,-35153,27.58,0.266,42.512,48198.02,233.012,54.694,19.569,44.821,392830,8714,27.966,3.569
"ECU","Ecuador","Latin America & Caribbean ","Upper middle income",76.577,11.2,1.861,7.85,63.09,6515.585,7.602,69.718,99.568,94.134,59.88,99.467,3.613,98.131,15.113,9.225,7.393,29.584,12.885,58.203,30.925,30.956,61.881,22.406,64.089,13.536,13.089,3.466,6550,5.868,25.517,66.633,50.076,11.782,38.295,17823897,0.797,5.363,15.423,-23090,36.91,0.802,27.5,248360,71.766,21.533,3.922,49.804,3211808,31594,52.38,0.76
"EGY","Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan","Lower middle income",71.01,21.8,2.75,4.828,42.633,4233.308,4.724,72.198,89.51,NA,36.462,NA,NA,90.679,10.683,10.319,10.946,32.711,15.971,51.429,15.087,21.896,36.983,19.856,79.685,7.268,NA,13.896,4040,6.588,32.851,62.32,60.461,7.748,52.714,112618250,1.486,5.675,21.091,13707,57.367,1.636,45.301,995450,113.133,4.077,3.117,0.045,12152219,99481,30.847,2.391
"SLV","El Salvador","Latin America & Caribbean ","Upper middle income",71.969,9.5,1.785,7.862,74.147,5074.601,9.82,60.056,89.13,65.227,31.454,79.719,3.268,183.249,9.738,13.737,4.559,23.732,13.769,60.455,32.433,56.268,88.701,24.472,80.552,18.811,21.162,7.199,4710,2.955,25.617,66.521,50.328,11.818,38.51,6280319,0.391,7.459,15.92,-23255,25.853,1.017,23.852,20720,303.104,57.708,34.797,27.745,2390600,21307,62.613,0.082
"GNQ","Equatorial Guinea","Sub-Saharan Africa ","Upper middle income",63.355,50.7,4.17,3.568,70.891,7589.3,2.837,63.66,NA,NA,NA,NA,NA,49.538,0.101,0.631,2.49,56.211,25.393,40.976,52.967,28.846,81.813,7.338,46.379,22.162,6.596,4.787,5210,3.224,37.678,58.754,70.2,6.072,64.128,1803545,2.513,8.015,30.123,3997,29.109,2.863,35.582,28050,64.298,3.74,1.889,86.692,170923,4750,8.082,10.142
"EST","Estonia","Europe & Central Asia","High income",77.844,1.7,1.41,20.63,70.489,28340.383,6.936,91.52,99.264,112.552,71.425,98.522,5.207,152.271,39.722,19.698,2.446,23.091,11.996,62.701,87.43,88.257,175.687,27.92,52.794,19.156,21.099,19.398,27580,-1.226,16.233,63.137,58.386,32.675,25.711,1348840,1.337,12.8,8.6,39754,29.511,1.779,47.516,42730,31.567,23.075,16.546,57.065,NA,NA,57.227,4.53
"SWZ","Eswatini","Sub-Saharan Africa ","Lower middle income",63.028,45.9,2.801,4.015,25.397,3894.162,7.245,57.344,117.196,NA,NA,105.579,5.573,121.492,2.185,3.182,7.571,34.686,29.622,50.776,44.495,48.076,92.572,22.093,61.502,19.987,NA,NA,3650,0.386,33.951,62.034,61.201,6.472,54.729,1218917,1.016,8.1,24.611,-8549,74.603,2.528,NA,17200,70.867,69.477,10.291,29.069,36157,1943,21.343,0.281
"ETH","Ethiopia","Sub-Saharan Africa ","Low income",66.897,48.3,4.082,3.124,22.737,982.103,2.853,17.984,84.632,NA,NA,60.901,3.736,56.964,0.452,0.688,37.642,22.718,4.241,36.554,8.244,18.352,26.595,25.342,77.404,7.362,4.497,33.89,960,5.322,39.706,57.17,74.918,5.465,69.452,125384287,2.623,6.093,32.413,-11996,77.263,5.433,18.338,1128498.8,111.107,34.078,14.533,14.996,10769724,117169,NA,2.98
"FJI","Fiji","East Asia & Pacific","Upper middle income",67.148,23.2,2.305,6.209,58.135,5414.121,4.018,72.565,112.26,95.307,68.779,116.084,3.938,111.749,2.534,4.5,14.193,17.794,11.704,55.013,49.98,69.233,119.214,21.831,76.289,21.133,18.496,6.079,5250,17.745,27.702,66.088,51.312,9.395,41.917,919422,0.295,9.299,18.242,-3557,41.865,1.113,NA,18270,50.324,17.055,4.204,63.13,1168544.946,6708,118.382,2.081
"FIN","Finland","Europe & Central Asia","High income",81.188,1.9,1.32,23.229,73.697,50440.56,9.742,92.989,98.619,144.852,104.944,98.383,6.376,128.023,34.295,3.25,2.241,25.181,15.755,59.428,46.285,48.278,94.563,27.285,50.54,24.167,21.199,7.124,54120,0.763,15.221,61.55,62.469,37.739,24.729,5556106,0.272,11.4,8.1,60353,26.303,0.715,32.427,303947.7,18.28,7.455,7.373,73.726,9040754,90513,96.198,4.667
"FRA","France","Europe & Central Asia","High income",82.129,3.4,1.78,21.377,78.759,40988.64,11.829,85.333,102.709,104.316,71.511,NA,5.324,115.951,48.25,57.137,1.72,15.769,9.301,71.758,36.616,39.347,75.963,24.023,54.083,24.625,24.55,5.222,46010,2.717,17.031,61.591,62.361,34.708,27.652,68184457,0.502,9.9,10.7,179377,21.241,0.531,20.749,538950,126.514,52.674,31.525,32.322,59323269,487133,119.29,4.018
"GAB","Gabon","Sub-Saharan Africa ","Upper middle income",67.713,27.5,3.712,4.011,91.224,8409.207,2.891,67.672,NA,NA,NA,NA,2.208,123.233,3.305,1.785,6.506,56.13,20.8,33.438,67.579,24.484,92.063,16.027,30.072,10.807,NA,4.231,7150,3.038,36.774,59.215,68.877,6.774,62.102,2430747,2.248,6.519,28.3,987,8.776,2.727,38.642,257670,9.434,8.357,1.261,91.228,NA,NA,NA,5.404
"GMB","Gambia, The","Sub-Saharan Africa ","Low income",64.859,34.7,4.078,2.89,63.287,836.245,3.537,48.225,97.278,NA,NA,80.332,2.892,106.782,0.216,2.392,22.86,15.589,1.431,55.63,8.57,36.152,44.722,28.624,91.55,8.362,NA,11.513,830,5.493,41.184,55.926,78.808,5.167,73.641,2636470,2.32,6.635,30.771,-3000,36.713,3.164,28.14,10120,260.521,62.648,43.478,22.846,NA,NA,9.62,10.5
"GEO","Georgia","Europe & Central Asia","Upper middle income",74.141,7.7,1.82,15.087,60.01,6729.847,8.296,78.711,102.728,103.71,79.325,110.788,3.755,154.014,28.334,8.327,6.632,21.33,9.723,59.049,52.479,62.217,114.695,24.067,73.142,12.529,22.902,11.898,5690,10.959,21.197,63.716,56.947,23.678,33.268,3712502,0.105,12.211,11.612,26999,39.99,1.077,48.492,69490,64.952,34.306,4.547,40.616,167072,1834,63.073,9.037
"DEU","Germany","Europe & Central Asia","High income",80.608,3.1,1.455,22.459,81.787,50506.518,12.447,91.63,100.218,100.817,77.366,97.758,5.239,124.158,44.619,45.881,0.995,25.56,18.322,63.481,45.628,43.157,88.786,23.276,52.49,21.763,11.256,6.873,55200,1.809,13.913,63.629,57.162,35.297,21.865,83177813,-0.022,12.8,8.9,981552,18.213,0.167,5.249,349360,238.086,47.501,33.367,32.685,69045135,604220,81.079,1.823
"GHA","Ghana","Sub-Saharan Africa ","Lower middle income",65.246,29.4,3.434,3.562,57.251,2229.891,3.675,69.913,98.232,77.817,20.446,93.416,2.91,120.803,0.625,0.996,19.514,31.47,11.484,42.776,34.664,35.451,70.115,16.408,77.727,6.653,12.298,31.256,2270,3.805,36.529,59.909,66.919,5.945,60.974,33149152,1.92,7.095,26.596,-10003,42.749,2.895,19.129,227533,145.689,55.393,20.7,35.16,548131,13012,13.289,1.932
"GRC","Greece","Europe & Central Asia","High income",80.788,3.3,1.32,23.228,78.55,20884.677,8.449,83.171,101.366,106.599,166.39,99.896,3.375,109.027,42.923,46.84,3.785,16.72,9.721,67.719,49.232,58.89,108.122,18.809,70.952,19.897,27.517,9.645,21980,5.522,13.848,62.924,58.923,36.915,22.008,10437805,-1.26,13.4,7.3,-53997,21.45,-1.054,38.466,128900,80.976,41.676,14.439,30.27,15309117,146667,52.457,3.696
"GRD","Grenada","Latin America & Caribbean ","Upper middle income",75.151,16.9,1.502,11.521,36.369,10469.387,4.997,68.42,NA,NA,NA,NA,4.038,95.759,29.767,14.533,4.12,16.14,3.375,64.345,NA,NA,NA,NA,NA,NA,NA,2.581,9980,7.31,20.22,68.258,46.502,16.879,29.623,116913,0.193,8.763,11.935,-190,63.631,0.429,NA,340,343.862,23.529,8.824,52.059,NA,NA,53.63,13.314
"GTM","Guatemala","Latin America & Caribbean ","Upper middle income",71.206,18.3,2.343,4.63,55.258,5356.924,7.168,54.404,102.998,45.893,NA,86.545,3.208,115.156,5.024,10.745,9.079,22.64,14.088,61.734,18.952,35.497,54.449,16.629,88.423,11.493,11.823,6.885,5220,4.155,32.714,62.656,59.601,7.389,52.212,17847877,1.406,5.281,21.063,-8463,44.742,2.048,30.788,107160,166.554,43.038,14.502,32.704,NA,NA,36.607,1.517
"GIN","Guinea","Sub-Saharan Africa ","Lower middle income",60.432,62.9,4.303,3.431,37.238,1416.596,3.833,31.314,NA,NA,NA,NA,2.007,95.317,0.006,0,28.382,26.503,12.745,37.52,45.419,48.747,94.165,14.014,72.193,17.121,NA,10.493,1280,3.972,41.57,54.999,81.821,6.238,75.582,14055137,2.483,9.3,34.381,-3997,62.762,3.531,39.139,245720,57.2,71.949,22.586,24.862,NA,NA,10.456,3.306
"GNB","Guinea-Bissau","Sub-Saharan Africa ","Low income",63.605,44.7,3.911,3.09,45.163,881.603,8.338,27.674,NA,NA,NA,NA,NA,125.935,0.219,0,39.668,12.668,7.006,43.569,14.752,31.242,45.993,22.119,75.407,18.964,8.713,9.391,960,5.458,39.705,57.205,74.81,5.402,69.408,2105529,2.242,7.224,30.458,-1400,54.837,3.197,67.573,28120,74.877,29.624,13.799,69.813,NA,NA,14.585,1.167
"GUY","Guyana","Latin America & Caribbean ","High income",69.888,24.8,2.437,6.222,26.454,17913.493,2.525,76.562,NA,NA,NA,NA,NA,112.565,12.936,15.044,10.03,67.821,1.867,19.27,NA,NA,NA,NA,NA,NA,NA,6.933,14680,63.335,29.403,64.375,55.341,9.666,45.675,821637,0.752,7.309,20.748,-6161,73.546,0.791,NA,211140,3.891,3.41,0.459,87.131,NA,NA,20.188,-20.362
"HTI","Haiti","Latin America & Caribbean ","Lower middle income",63.948,41.3,2.699,4.541,53.852,1748.409,3.208,47.775,NA,NA,NA,NA,1.027,65.189,0.307,0.012,20.417,26.328,20.072,51.024,3.914,25.86,29.775,15.882,99.151,6.913,NA,33.984,1610,-1.682,31.932,63.527,57.414,7.148,50.266,11503606,1.128,8.272,22.547,-32220,46.148,2.26,47.059,27560,417.402,65.131,36.466,12.376,37313,863,8.297,0.196
"HND","Honduras","Latin America & Caribbean ","Lower middle income",72.715,13.6,2.522,4.167,57.836,3003.29,8.155,56.881,82.294,53.861,NA,68.238,4.483,75.855,4.41,3.956,12.473,25.908,16.22,57.123,42.439,70.259,112.699,26.326,87.218,14.276,NA,9.09,2700,4.144,31.386,64.447,55.166,6.465,48.701,10463872,1.677,4.442,22.242,-5374,42.164,2.513,25.226,111890,93.519,31.96,9.098,56.46,351802,14652,70.084,2.413
"HUN","Hungary","Europe & Central Asia","High income",75.868,3.2,1.57,20.608,70.159,18428.029,6.647,89.143,105.576,102.852,60.275,98.626,3.801,105.794,36.534,29.381,3.144,24.215,16.777,57.632,89.81,95.16,184.97,34.254,50.389,20.707,23.429,14.608,19200,4.152,14.551,64.842,54.221,31.781,22.44,9605074,-0.269,14.2,9.3,41871,29.841,-0.336,26.343,91260,105.25,55.621,45.559,22.464,41287305,243125,36.042,-1.052
"ISL","Iceland","Europe & Central Asia","High income",82.12,2.2,1.589,15.111,94.179,76376.96,9.081,97.583,98.512,112.589,84.985,98.945,7.308,120.115,37.421,24.463,4.206,20.874,9.857,64.904,46.725,46.291,93.016,24.243,49.774,25.549,22.156,8.309,74620,8.857,18.378,66.511,50.352,22.719,27.632,382003,2.514,7,11.5,6535,5.821,2.48,NA,100830,3.789,18.566,1.2,0.522,3709948.4,33009,93.031,4.739
"IND","India","South Asia","Lower middle income",71.698,25.7,1.994,6.699,34.756,2279.981,3.396,55.9,111.084,81.178,32.67,NA,4.099,80.182,2.352,1.926,18.211,25.604,13.333,47.173,24.04,26.658,50.698,34.412,57.137,11.069,6.934,6.699,2360,7.609,25.488,67.813,47.464,9.879,37.585,1425423212,0.79,6.576,16.336,-1353478,65.244,1.695,6.473,2973190,479.426,60.056,51.805,24.449,139996043.466,1055351.999,38.186,1.537
"IDN","Indonesia","East Asia & Pacific","Upper middle income",70.925,16.3,2.149,6.825,57.493,4730.835,2.694,66.485,98.701,97.817,42.326,102.068,0.864,122.873,4.822,3.021,12.4,41.429,18.336,41.791,24.503,20.962,45.465,29.745,53.045,7.69,NA,4.209,4520,5.307,25.274,67.901,47.273,10.051,37.222,278830529,0.746,7.492,16.204,-37501,42.507,1.826,6.908,1892555.47,147.33,29.007,9.396,48.042,58991326,484692,35.288,1.873
"IRN","Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan","Upper middle income",76.799,11,1.704,7.629,76.334,4721.204,5.628,81.716,100.975,85.606,58.684,98.162,2.67,162.713,12.21,32.776,10.695,41.219,22.225,45.341,25.567,23.352,48.918,40.726,42.288,12.68,NA,43.488,4390,4.353,23.221,69.15,44.614,11.033,33.581,89524246,1.201,4.897,13.314,403190,23.666,1.649,13.728,1622500,55.177,29.009,9.676,6.642,18713104,156193,NA,0.355
"IRQ","Iraq","Middle East, North Africa, Afghanistan & Pakistan","Upper middle income",72.037,21.4,3.294,3.398,69.868,6520.732,4.332,78.716,NA,NA,NA,NA,NA,99.132,14.491,5.429,2.059,65.272,2.246,33.159,44.526,24.233,68.759,24.315,31.725,13.769,NA,4.995,5510,7.959,37.587,59.015,69.447,5.757,63.69,44070551,2.294,4.164,26.004,76821,30.132,2.294,24.396,434130,101.515,21.778,11.446,1.9,2710079,32299,9.541,-0.727
"IRL","Ireland","Europe & Central Asia","High income",82.51,3.3,1.51,15.162,63.892,105190.686,6.021,95.037,96.476,130.605,77.593,93.739,NA,110.609,31.536,23.922,1.173,40.756,37.098,53.512,139.506,98.249,237.755,22.884,24.319,10.973,16.763,7.829,75970,7.511,19.456,65.382,52.947,23.19,29.757,5212836,1.981,6.7,10.4,93535,36.108,2.317,37.71,68890,75.669,63.115,6.474,11.468,169377735,982865,25.442,-6.488
"ISR","Israel","Middle East, North Africa, Afghanistan & Pakistan","High income",82.7,2.7,2.89,12.303,91.498,54947.209,7.12,91.851,98.019,98.587,58.95,97.695,5.933,151.138,29.168,39.261,1.186,19.216,12.074,70.503,31.365,29.271,60.636,27.648,49.297,20.96,25.003,4.412,55460,6.364,27.804,59.893,66.963,20.542,46.422,9557500,1.966,5.4,19,50004,8.502,1.926,49.67,21640,441.659,24.704,12.408,6.47,5520059,40114,70.145,4.357
"ITA","Italy","Europe & Central Asia","High income",82.7,2.4,1.24,23.929,69.484,35653.904,8.85,85.061,101.565,101.354,73.896,97.153,4.068,131.674,31.191,33.323,1.89,23.279,15.382,64.597,35.099,36.917,72.017,24.598,58.382,18.839,24.606,8.201,39060,4.821,12.39,63.681,57.033,37.577,19.456,59013667,-0.202,12.1,6.7,231228,30.516,-0.198,10.481,295720,199.559,43.963,23.957,32.713,14670031.959,149145,69.587,2.942
"JAM","Jamaica","Latin America & Caribbean ","Upper middle income",71.481,16.9,1.372,7.537,57.988,6626.475,8.653,85.843,93.268,82.858,NA,NA,5.354,105.762,14.96,15.738,6.8,17.449,8.137,58.942,NA,NA,NA,NA,NA,NA,NA,10.35,6340,6.439,19.58,72.883,37.206,10.341,26.865,2839144,0.052,7.905,11.855,-10003,42.012,0.825,36.112,10830,262.155,38.504,11.08,55.832,NA,NA,46.19,1.694
"JPN","Japan","East Asia & Pacific","High income",83.996,1.8,1.26,29.403,91.978,35548.265,12.323,84.923,101.098,101.382,63.375,NA,NA,168.603,36.841,48.401,0.849,27.058,18.824,71.119,20.648,24.213,44.861,28.311,54.544,20.71,NA,2.498,44300,1.332,11.859,58.738,70.246,50.057,20.189,125124989,-0.444,12.9,6.3,175003,8.022,-0.331,32.388,364500,343.278,12.716,11.155,68.409,86456115,906188,186.793,1.083
"JOR","Jordan","Middle East, North Africa, Afghanistan & Pakistan","Upper middle income",77.088,12.6,2.679,4.142,92.405,4754.414,7.736,90.5,98.541,90.991,32.512,95.78,3.153,67.746,7.074,3.985,4.768,27.239,15.697,56.389,NA,NA,NA,NA,NA,NA,15.917,4.229,4810,2.747,31.853,64.005,56.238,6.472,49.767,11256263,1.702,3.163,20.922,-17445,7.595,2.012,21.243,88794,126.768,11.746,2.282,1.098,3179936,30461,76.754,1.799
"KAZ","Kazakhstan","Europe & Central Asia","Upper middle income",73.503,7.7,3.05,7.985,61.444,11255.34,3.746,92.297,99.224,94.043,57.246,100.528,4.362,125.642,14.474,14.149,5.247,34.979,13.424,52.644,41.569,26.765,68.334,24.976,49.437,10.499,12.062,15.028,9400,3.2,29.627,62.388,60.287,12.8,47.487,20034609,1.463,6.992,20.819,45755,38.556,2.139,15.907,2699700,7.421,79.366,10.99,1.301,9756366.526,81720,25.022,2.254
"KEN","Kenya","Sub-Saharan Africa ","Lower middle income",63.549,35.5,3.262,2.864,31.431,2109.563,4.322,29.406,98.552,83.774,NA,NA,4.511,121.169,1.476,0.116,21.036,17.527,7.741,55.415,15.957,24.318,40.275,19.054,75.688,12.213,14.599,7.66,2170,4.86,38.071,59.065,69.305,4.849,64.457,54252461,1.923,7.212,27.342,-10003,68.569,2.379,30.019,580876.3,93.398,49.483,11.418,6.217,3728989,56524,31.258,0.692
"KIR","Kiribati","East Asia & Pacific","Lower middle income",66.269,40.7,3.182,4.016,60.574,2078.765,10.526,84.998,102.157,88.685,NA,104.611,14.786,49.112,0.069,0,27.958,10.157,4.712,64.945,7.572,99.648,107.22,23.275,108.574,62.914,20.167,5.346,3280,5.09,35.08,60.905,64.19,6.593,57.597,130469,1.616,7.073,26.403,-395,39.426,3.175,NA,810,161.073,41.975,2.469,1.457,67218.199,5054,NA,1.574
"KOR","Korea, Rep.","East Asia & Pacific","High income",82.68,2.4,0.778,17.485,81.162,34822.405,8.86,97.169,99.005,97.818,102.813,96.016,5.409,148.684,45.454,44.049,1.448,32.511,26.498,58.071,45.295,45.29,90.585,33.325,49.032,17.638,17.159,5.09,38590,2.728,11.414,71.101,40.645,24.591,16.054,51672569,-0.187,7.3,4.9,87800,18.838,-0.186,23.786,97600,529.432,16.23,13.525,64.211,46853301,324333,162.77,1.392
"KWT","Kuwait","Middle East, North Africa, Afghanistan & Pakistan","High income",80.588,7.4,1.546,2.747,100,39981.769,4.2,99.747,NA,NA,NA,NA,6.582,168.35,1.363,12.474,0.402,65.766,7.874,44.821,60.449,30.47,90.919,16.549,32.583,20.889,NA,3.981,39120,6.759,19.216,78.038,28.143,3.52,24.624,4589643,5.113,1.752,10.849,368560,0,5.113,70.562,17820,257.556,8.418,0.449,0.351,7330465,53616,NA,0.41
"KGZ","Kyrgyz Republic","Europe & Central Asia","Lower middle income",72.049,15.1,2.8,5.199,34.7,1739.72,5.049,84.194,96.744,NA,54.218,96.345,7.169,106.926,5.605,3.1,10.997,24.194,13.643,51.016,46.337,87.449,133.787,35.641,88.686,16.786,19.542,13.923,1540,8.968,32.922,61.879,61.607,8.403,53.204,6975220,1.794,4.5,21.5,12596,65.3,1.644,44.712,191800,36.367,55.253,6.707,7.048,824742,5874,20.797,0.452
"LAO","Lao PDR","East Asia & Pacific","Lower middle income",68.715,29.3,2.455,4.417,38.068,2046.404,2.018,64.54,95.699,56.878,13.678,88.25,1.461,63.355,2.382,17.536,14.869,34.109,8.806,40.279,NA,NA,NA,NA,NA,NA,12.113,22.956,2300,2.707,30.917,64.666,54.641,6.831,47.81,7559007,1.41,6.265,21.693,-10003,61.932,3.344,24.55,230800,32.751,9.791,5.303,71.605,461727.244,6475,NA,4.695
"LVA","Latvia","Europe & Central Asia","High income",74.278,2.6,1.47,21.012,68.257,20221.104,8.104,91.03,99.418,104.765,91.33,98.448,4.32,115.203,25.989,12.275,5.114,20.581,11.985,61.649,77.501,82.391,159.893,24.67,59.506,20.714,17.142,17.31,20630,1.909,15.926,63.062,58.574,33.319,25.254,1879383,-0.271,16.4,8.5,22027,31.743,-0.16,48.715,62230,30.201,31.657,21.806,54.934,3664379.764,39036,30.999,3.203
"LBN","Lebanon","Middle East, North Africa, Afghanistan & Pakistan","Lower middle income",78.003,14.2,2.263,9.513,90.206,3654.358,4.913,81.465,76.454,64.502,58.176,68.127,1.332,74.015,7.292,16.093,1.19,2.391,NA,88.622,34.829,80.059,114.888,1.225,140.38,3.625,NA,171.205,4130,-0.622,27.185,63.301,57.975,15.029,42.946,5744489,0.46,5.769,16.372,-27507,9.794,0.728,46.955,10230,561.534,66.128,13.342,14.128,2385930,20503,NA,2.51
"LSO","Lesotho","Sub-Saharan Africa ","Lower middle income",56.812,59.9,2.716,3.793,41.67,1030.126,12.896,48.07,83.634,NA,NA,70.576,NA,68.1,0.398,0.295,5.951,30.489,16.283,50.066,46.506,95.868,142.374,27.377,86.772,35.212,30.443,8.272,1270,2.388,35.297,60.91,64.176,6.227,57.949,2286110,1.08,10.918,24.392,-6023,58.33,3.547,NA,30360,75.3,74.947,8.939,1.137,NA,NA,21.696,-0.332
"LBR","Liberia","Sub-Saharan Africa ","Low income",61.934,63.6,4.016,3.253,54.459,744.617,13.588,30.38,66.594,NA,NA,57.846,2.276,32.064,0.275,0.116,36.203,20.689,NA,37.343,NA,NA,NA,NA,NA,NA,NA,7.593,660,4.808,40.484,56.263,77.736,5.781,71.955,5373294,2.144,8.159,31.189,-5003,45.541,3.134,55.449,96320,55.786,19.965,5.191,78.456,NA,NA,14.787,3.093
"LBY","Libya","Middle East, North Africa, Afghanistan & Pakistan","Upper middle income",74.462,8.4,2.402,4.749,87.849,5986.637,4.744,80.647,NA,NA,NA,NA,NA,192.973,4.518,16.863,1.686,76.838,NA,26.576,91.981,64.341,156.322,10.52,29.274,32.482,NA,4.51,6010,-8.3,28.51,66.741,49.833,7.115,42.718,7223805,1.235,4.808,17.537,-2001,12.151,1.248,18.529,1759540,4.106,8.724,0.978,0.123,1065139.6,10943,10.719,1.623
"LTU","Lithuania","Europe & Central Asia","High income",75.644,2.9,1.27,19.861,68.287,24946.572,7.244,87.724,101.906,106.918,76.915,100.606,4.253,135.834,28.44,8.876,3.949,25.473,16.168,61.06,87.264,89.368,176.632,27.767,57.239,17.097,21.456,19.705,23840,2.465,15.049,65.09,53.633,30.513,23.12,2831639,0.825,15.1,7.8,72100,31.713,0.965,27.967,62604,45.231,46.503,36.617,35.204,29256,1550,35.898,3.425
"LUX","Luxembourg","Europe & Central Asia","High income",82.946,2,1.31,14.842,94.761,123719.659,5.609,98.242,99.484,107.84,21.033,77.837,3.745,139.651,38.327,39.806,0.242,9.114,3.912,81.129,222.308,189.869,412.177,17.033,32.463,18.064,26.709,6.336,84190,-1.097,15.879,69.279,44.344,21.424,22.92,653103,2.017,6.8,9.9,13194,5.239,2.201,NA,2574.46,253.685,51.471,24.08,34.454,2060543,47818,102.549,-391.555
"MDG","Madagascar","Sub-Saharan Africa ","Low income",63.068,44.1,4.036,3.268,31.54,504.059,3.149,17.812,132.888,NA,5.876,57.402,3.068,64.749,0.107,0.129,21.609,22.501,12.064,49.577,30.51,39.961,70.471,20.617,72.371,16.463,9.231,8.161,500,4.138,39.866,56.866,75.851,5.746,70.105,30437261,2.482,7.728,32.498,-1487,68.46,3.842,38.541,581800,52.316,70.29,5.156,21.319,250506,4236,18.619,3.049
"MWI","Malawi","Sub-Saharan Africa ","Low income",66.037,38.6,3.72,2.613,16.715,604.27,6.625,16.848,126.588,35.508,2.708,NA,2.749,59.65,0.072,0.046,27.598,16.907,10.75,49.236,11.342,32.274,43.617,15.933,82.153,21.408,13.504,20.954,610,0.921,41.933,55.453,80.332,4.712,75.619,20568728,2.568,5.803,31.738,-5231,83.285,3.932,35.554,94280,218.166,64.171,42.427,22.886,3594.5,1027,8.647,1.599
"MYS","Malaysia","East Asia & Pacific","Upper middle income",75.444,6.9,1.55,7.186,75.974,11754.568,3.9,97.399,89.787,78.834,36.985,84.5,3.499,138.208,12.175,24.395,8.962,38.974,23.338,51.016,76.808,69.617,146.425,23.586,57.609,11.613,11.631,3.379,11620,9.032,22.834,69.981,42.897,10.268,32.629,34695493,1.198,5.547,12.394,188154,24.026,1.812,31.941,328550,105.602,26.087,2.512,57.872,28006856.4,228366,113.07,3.685
"MDV","Maldives","South Asia","Upper middle income",80.76,5.3,1.583,4.082,41.064,11786.019,7.5,83.912,96.015,73.523,48.497,92.823,4.673,136.459,17.4,2.552,5.062,9.919,1.995,73.567,82.671,79.573,162.243,32.99,46.691,17.221,NA,2.331,10570,13.826,20.382,75.536,32.387,5.404,26.984,524106,1.529,2.329,11.396,-2674,58.936,2.322,NA,300,1747.02,19.667,13,2.733,1516025.005,36623,35.217,11.845
