"iso3","country","region","income","life_exp","infant_mort","fertility","pop65","urban_pct","gdp_pc","health_exp_pct","internet_pct"
"MHL","Marshall Islands","East Asia & Pacific","Upper middle income",66.725,24.1,2.936,4.112,77.986,6455.66,13.608,64.267
"MRT","Mauritania","Sub-Saharan Africa ","Lower middle income",68.281,32.1,4.77,3.209,58.812,1961.282,4.67,42.465
"MUS","Mauritius","Sub-Saharan Africa ","Upper middle income",73.515,13.9,1.33,12.396,39,10246.502,5.842,75.5
"MEX","Mexico","Latin America & Caribbean ","Upper middle income",73.973,12.8,1.94,7.745,79.2,11405.794,5.709,78.632
"FSM","Micronesia, Fed. Sts.","East Asia & Pacific","Upper middle income",66.961,21.6,2.785,5.519,22.412,3703.667,12.627,39.028
"MDA","Moldova","Europe & Central Asia","Upper middle income",71.546,14.7,1.694,15.117,42.405,5744.296,6.965,74.919
"MCO","Monaco","Europe & Central Asia","High income",85.746,2.3,2.114,37.061,100,226052.061,3.395,98.752
"MNG","Mongolia","East Asia & Pacific","Upper middle income",71.901,11.6,2.7,4.616,69.784,4993.515,8.852,81.077
"MNE","Montenegro","Europe & Central Asia","Upper middle income",76.188,2.1,1.8,17.146,65.401,10038.185,10.191,88.222
"MAR","Morocco","Middle East, North Africa, Afghanistan & Pakistan","Lower middle income",75.161,15.9,2.256,7.51,62.512,3463.138,5.753,89.9
"MOZ","Mozambique","Sub-Saharan Africa ","Low income",63.011,45.9,4.84,2.773,35.054,578.273,8.249,18.962
"NAM","Namibia","Sub-Saharan Africa ","Lower middle income",64.19,38.8,3.248,3.523,49.529,4349.799,9.622,62.997
"NRU","Naoero","East Asia & Pacific","High income",61.93,8.7,3.379,2.432,100,15309.835,18.342,83.227
"NPL","Nepal","South Asia","Lower middle income",70.087,23.9,2.002,6.198,66.299,1385.911,6.53,45.451
"NLD","Netherlands","Europe & Central Asia","High income",81.615,3.4,1.49,19.901,94.986,59123.319,10.031,92.52
"NZL","New Zealand","East Asia & Pacific","High income",81.959,4.2,1.67,16.446,83.855,49141.632,10.568,93.073
"NIC","Nicaragua","Latin America & Caribbean ","Lower middle income",74.463,12.6,2.24,5.239,58.995,2322.891,8.979,59.38
"NER","Niger","Sub-Saharan Africa ","Low income",60.398,68,6.135,2.551,17.477,613.615,4.35,13.087
"NGA","Nigeria","Sub-Saharan Africa ","Lower middle income",54.079,70.2,4.552,3.008,61.373,2899.16,4.21,39.147
"MKD","North Macedonia","Europe & Central Asia","Upper middle income",74.425,3.7,1.6,17.048,61.953,7606.238,7.422,83.85
"NOR","Norway","Europe & Central Asia","High income",82.51,2,1.41,18.33,82.956,113122.131,7.909,99
"OMN","Oman","Middle East, North Africa, Afghanistan & Pakistan","High income",77.911,8.5,2.449,2.658,80.012,23223.583,3.066,95.245
"PLW","Palau","East Asia & Pacific","High income",68.922,19.4,1.927,10.378,79.113,13934.952,14.878,82.567
"PAN","Panama","Latin America & Caribbean ","High income",79.324,11.9,2.139,8.766,65.821,17378.607,9.046,67.284
"PNG","Papua New Guinea","East Asia & Pacific","Lower middle income",65.274,33.1,3.165,3.247,14.736,3102.294,2.615,18.257
"PRY","Paraguay","Latin America & Caribbean ","Upper middle income",72.319,15.5,2.444,6.231,68.64,6189.102,7.735,76.259
"PER","Peru","Latin America & Caribbean ","Upper middle income",76.834,11.6,2.004,8.811,84.366,7353.746,6.097,74.675
"PHL","Philippines","East Asia & Pacific","Upper middle income",69.472,22.4,1.929,5.041,54.79,3548.069,5.156,75.211
"POL","Poland","Europe & Central Asia","High income",77.156,3.7,1.29,19.019,59.832,18891.212,6.466,86.941
"PRT","Portugal","Europe & Central Asia","High income",81.632,2.7,1.43,23.688,61.126,24620.52,10.549,84.497
"QAT","Qatar","Middle East, North Africa, Afghanistan & Pakistan","High income",81.857,5,1.739,1.391,99.244,88701.463,2.186,98.038
"ROU","Romania","Europe & Central Asia","High income",75.154,5.4,1.71,19.515,52.163,15503.469,5.798,85.503
"RUS","Russian Federation","Europe & Central Asia","High income",72.546,4.3,1.416,16.076,74.854,15625.633,6.879,90.418
"RWA","Rwanda","Sub-Saharan Africa ","Low income",67.528,30.5,3.778,3.721,27.781,1007.06,5.928,28.017
"SMR","San Marino","Europe & Central Asia","High income",85.708,1.3,1.136,21.024,97.114,54264.584,7.223,97.328
"STP","Sao Tome and Principe","Sub-Saharan Africa ","Lower middle income",69.237,9.9,3.695,3.849,68.372,2389.737,5.774,58.568
"SAU","Saudi Arabia","Middle East, North Africa, Afghanistan & Pakistan","High income",77.31,5,2.14,2.702,84.135,38510.228,5.314,100
"SEN","Senegal","Sub-Saharan Africa ","Lower middle income",67.788,31.2,3.864,3.563,53.444,1574.028,4.044,56.828
"SRB","Serbia","Europe & Central Asia","Upper middle income",75.237,4.6,1.59,22.078,61.901,10024.819,8.584,83.538
"SYC","Seychelles","Sub-Saharan Africa ","High income",74.51,13.4,2.2,8.148,44.911,16682.699,4.399,84.834
"SLE","Sierra Leone","Sub-Saharan Africa ","Low income",61.275,58.1,3.876,3.175,44.267,860.371,4.804,21.509
"SGP","Singapore","East Asia & Pacific","High income",82.895,2,1.04,12.691,100,91227.697,4.331,95.954
"SVK","Slovak Republic","Europe & Central Asia","High income",76.966,5.1,1.57,17.571,53.19,21317.794,7.702,89.068
"SVN","Slovenia","Europe & Central Asia","High income",81.283,1.9,1.55,20.881,55.338,28360.304,9.627,88.912
"SLB","Solomon Islands","East Asia & Pacific","Lower middle income",70.409,17.4,3.62,3.629,29.351,1877.781,4.824,28.017
"SOM","Somalia, Fed. Rep.","Sub-Saharan Africa ","Low income",53.931,89.2,6.255,2.542,53.501,573.141,2.847,27.6
"ZAF","South Africa","Sub-Saharan Africa ","Upper middle income",65.454,24.3,2.227,6.362,63.477,6534.249,8.745,78.293
"ESP","Spain","Europe & Central Asia","High income",83.134,2.6,1.16,20.188,79.955,30319.499,9.68,94.486
"LKA","Sri Lanka","South Asia","Upper middle income",77.3,5.5,1.984,11.382,19.988,3342.637,3.983,48.3
"KNA","St. Kitts and Nevis","Latin America & Caribbean ","High income",70.313,14.8,1.512,10.236,31.616,21011.574,5.526,75.762
"LCA","St. Lucia","Latin America & Caribbean ","Upper middle income",72.67,16.2,1.387,9.003,29.098,12976.149,4.748,66.952
"VCT","St. Vincent and the Grenadines","Latin America & Caribbean ","Upper middle income",71.191,11.1,1.791,11.243,47.586,9693.559,4.605,74.755
"SWE","Sweden","Europe & Central Asia","High income",83.059,2,1.53,20.342,88.404,54836.891,10.855,95.01
"CHE","Switzerland","Europe & Central Asia","High income",83.605,3.5,1.39,19.219,84.921,97809.096,11.599,96.453
"TJK","Tajikistan","Europe & Central Asia","Lower middle income",71.562,24.4,3.127,3.473,26.196,1052.179,7.629,48.914
"TZA","Tanzania","Sub-Saharan Africa ","Lower middle income",66.879,30.9,4.671,3.035,34.823,1207.521,3.135,26.861
"THA","Thailand","East Asia & Pacific","Upper middle income",75.291,8.2,1.221,14.097,59.742,6910.01,5.355,87.977
"TGO","Togo","Sub-Saharan Africa ","Lower middle income",62.292,37,4.253,3.614,42.733,1071.615,6.241,35.607
"TON","Tonga","East Asia & Pacific","Upper middle income",72.635,8.2,3.171,6.501,21.147,5298.019,7.953,61.607
"TTO","Trinidad and Tobago","Latin America & Caribbean ","High income",73.331,18,1.544,11.358,53.947,20750.52,6.644,81.698
"TUR","Turkiye","Europe & Central Asia","Upper middle income",77.591,8.5,1.63,9.72,89.038,10897.84,3.703,83.437
"UGA","Uganda","Sub-Saharan Africa ","Low income",67.675,36.5,4.388,2.115,29.925,963.067,4.451,9.637
"ARE","United Arab Emirates","Middle East, North Africa, Afghanistan & Pakistan","High income",80.487,4.2,1.148,1.64,85.515,50759.759,4.565,100
"GBR","United Kingdom","Europe & Central Asia","High income",81.011,4,1.56,18.93,83.075,47034.78,11.097,95.465
"USA","United States","North America","High income",77.434,5.5,1.657,16.92,80.032,78008.69,16.529,92.729
"URY","Uruguay","Latin America & Caribbean ","High income",76.468,6.1,1.425,15.613,95.498,21009.288,8.89,89.873
"UZB","Uzbekistan","Europe & Central Asia","Lower middle income",72.147,13.5,3.396,5.545,50.985,2698.603,6.617,83.9
"VEN","Venezuela, RB","Latin America & Caribbean ","Lower middle income",72.566,21.2,2.088,8.982,89.213,3155.042,4.55,75.822
"VNM","Viet Nam","East Asia & Pacific","Upper middle income",74.502,12.9,1.927,8.23,37.548,4147.698,4.538,78.59
"PSE","West Bank and Gaza","Middle East, North Africa, Afghanistan & Pakistan","Lower middle income",76.662,12.3,3.375,3.703,86.596,3799.955,9.706,88.647
"ZMB","Zambia","Sub-Saharan Africa ","Lower middle income",65.279,35.4,4.175,1.856,44.599,1447.123,5.21,15
"ZWE","Zimbabwe","Sub-Saharan Africa ","Lower middle income",62.36,61.6,3.767,3.608,38.706,2536.402,3.395,36.257
